userName,score,at,content,Day,Month,Year,Hour,Minute,Sec
Faizin Habdafiz,5,2024-09-29 23:31:46,Keren dah,29,9,2024,23,31,46
HERIKIRAWAN irawan,5,2024-09-29 18:19:52,nyoba baik pa GK,29,9,2024,18,19,52
Satrya Dhwaa,1,2024-09-29 16:39:34,anjingg adminya nipuu bangsatt saldo dana gue abisss,29,9,2024,16,39,34
Latif Nury,5,2024-09-29 16:25:55,Good job,29,9,2024,16,25,55
Gilang Rama,5,2024-09-29 13:33:26,Pengen aja ngasih bintang 1 wkwk mau uninstall tanggung nunggu bareng dateng yg super lemot bgst,29,9,2024,13,33,26
mahdi haris haris,1,2024-09-29 13:16:01,"Aplikasi bodoh gak beli apa"" maen otomatis potong ajah dari dana saya pengaduan juga gak respon aplikasi apaan ini ngerugiin masyarakat ajah mana gak bisa balik lagi saldonya",29,9,2024,13,16,1
faisal ramali,3,2024-09-29 12:38:22,"Moga bener, komen komen ulasan..",29,9,2024,12,38,22
OLSHOP ONLINE77,5,2024-09-29 11:29:45,Mantaaaaap.....,29,9,2024,11,29,45
Lucky Adrian,1,2024-09-29 09:57:41,Uang saya hioang tapi respon cs jelek sekali .. ilang nya 3 juta 600 lagi 😔,29,9,2024,9,57,41
Danang Arianto,1,2024-09-29 09:47:09,Komplain salah transfer ke bukalapak mengirim pengajuan dompet malah dibekukan.. Trus pengajuan lagi ni malah akun saya yang dinonaktifkan... Percuma ngisi form2 yg ada ttep uang hilang,29,9,2024,9,47,9
Priwantoro,5,2024-09-29 09:16:41,Mantap,29,9,2024,9,16,41
Gunawan Gunawan,1,2024-09-29 07:37:30,Saldo dana saya dua kali ke ambil Bukalapak cara komplain supaya bisa di kembalikan saldo nya,29,9,2024,7,37,30
DididTandung WijayaAmir,5,2024-09-29 07:23:29,"Apakah bisa jualan...,coba aja lah....",29,9,2024,7,23,29
